,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
0,"会计学,审计学,财政学","会计学,财政学,经济学",财务管理,二年,硕士,硕士研究生及以上,1,2,市纪委、市监察局,具有两年以上基层工作经历的人员,中共党员,市纪委、市监察局机关及派驻机构,1810001,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有两年以上财务管理相关基层工作经历；3.同等条件下，取得经济师、审计师、会计师等资格者优先。,服从统一分配。,False,0,False,0,2
1,"经济学,金融学,审计学","经济学,金融学,会计学",经济管理,二年,硕士,硕士研究生及以上,2,1,市纪委、市监察局,具有两年以上基层工作经历的人员,中共党员,市纪委、市监察局机关及派驻机构,1810002,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有两年以上经济管理相关基层工作经历；3、同等条件下，取得经济师、审计师、会计师等资格者优先。,服从统一分配。,False,0,False,0,1
2,法学,法学,政法,二年,硕士,硕士研究生及以上,3,3,市纪委、市监察局,具有两年以上基层工作经历的人员,中共党员,市纪委、市监察局机关及派驻机构,1810003,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有两年以上政法相关基层工作经历；3、同等条件下，取得国家法律职业资格者优先。,服从统一分配。,False,0,False,0,3
3,"汉语言文学,新闻学,计算机类","中国语言文学类,新闻学,计算机科学与技术类",综合管理,二年,硕士,硕士研究生及以上,4,3,市纪委、市监察局,具有两年以上基层工作经历的人员,中共党员,市纪委、市监察局机关及派驻机构,1810004,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有两年以上基层工作经历，有较好的文字综合能力。,服从统一分配。,False,0,False,0,3
4,"土地资源管理,土木工程","土地资源管理,土木工程类",城市建设管理,二年,硕士,硕士研究生及以上,5,1,市纪委、市监察局,具有两年以上基层工作经历的人员,中共党员,市纪委、市监察局机关及派驻机构,1810005,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有两年以上基层工作经历，有较好的文字综合能力。,服从统一分配。,False,0,False,0,1
5,"工学,文学,管理学","工学,文学,管理学",综合管理,二年,学士,本科及以上,6,2,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务部门,1810006,主任科员及以下,从事机关文书管理、文件收发交寄、文稿起草、长途出差等工作,具备一定的调查研究、组织管理和沟通协调能力，文字综合能力强，英语六级，有驾驶证。,1、从事过文字、党建工作者优先；2、需加班和夜间值班，男生优先。,False,0,False,0,2
6,"计算机类,管理学,文学","计算机科学与技术类,管理学,中国语言文学类",综合管理,二年,学士,本科及以上,7,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务部门,1810007,主任科员及以下,从事干部人事综合管理等工作,具备一定的调查研究和文字表达能力，有较强的组织管理和沟通协调能力，英语六级。,从事过信息系统管理、人事档案管理工作者优先。,False,0,False,0,1
7,计算机类,"计算机科学与技术类,电子科学与技术类,信息与通信工程类",信息管理,二年,学士,本科及以上,8,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1810008,主任科员及以下,从事信息系统、音频、视频的管理维护，会务保障等工作,具备一定的调查研究和文字表达能力，有团队合作精神，相融性好。熟练掌握音频、视频管理者可适当放宽专业。,1、从事过音频、视频管理工作者优先；2、需加班和夜间值班，男生优先。,False,0,False,0,1
8,"电子信息类,计算机类","电子科学与技术类,信息与通信工程类,控制科学与工程类",信息管理,二年,学士,本科及以上,9,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务部门,1810009,主任科员及以下,从事信息系统管理维护，通信保障等工作,具备一定的调查研究和文字表达能力，有较强的计算机操作能力。熟练掌握五笔输入。,从事过通信保障工作者优先。,False,0,False,0,1
9,,"文学,法学,管理学",综合管理,二年,硕士,硕士研究生,10,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,宣传处,1810010,综合管理岗位（主任科员及以下）,组织、协调全市社会主义核心价值观建设；组织市级重大先进典型宣传学习活动；组织重大形势任务宣传教育活动；联系指导各区及委办社会宣传工作。,,有相关工作经历者优先,False,0,False,0,1
