,专业本科,专业研究生,专业考试,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
0,"公共管理类,法学,哲学 ",公共管理类,综合管理,二年,学士,本科及以上,1,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1410001,主任科员及以下,有较强的政治素质，较强的责任心和大局意识。有较强的分析思考和组织协调能力，能够承担文件起草、会务协调等工作,有相关工作经历者优先,,False,0,False,0,1
1,"公共管理类,法学,哲学 ","公共管理类,法学,哲学",综合管理,二年,学士,本科及以上,2,3,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1410002,主任科员及以下,有较强的政治素质，较强的责任心和保密意识。有较强的沟通协调能力，能吃苦耐劳、甘于奉献，热爱机要工作,有相关工作经历者优先,,False,0,False,0,3
2,,"新闻传播学类,政治学类,社会学类",综合管理,二年,硕士,硕士研究生,3,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,舆情处,1410003,社会舆情分析,收集经济、政治、社会、文化领域的重要舆情，进行科学分析和研判，并提出决策建议。,有相应工作经验者优先,,False,0,False,0,1
3,"管理学,法学类,文学 ","管理学,法学类,文学",综合管理,二年,学士,本科及以上,4,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,干部处,1410004,干部人事管理,起草相关文件及调研报告；参与干部人事管理、行政事务等工作。,有相应工作经验者优先,,False,0,False,0,1
4,,"政治学类,哲学类,社会学类",综合管理,二年,硕士,硕士研究生及以上,5,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,理论处,1410005,理论研究,组织开展理论学习、研究、宣传，起草有关文件，组织实施马克思主义理论研究和建设工程，组织开展中国特色社会主义理论研究和宣传。,有相应工作经验者优先,,False,0,False,0,1
5,,"法学类,政治学类,新闻学",综合管理,二年,硕士,硕士研究生,6,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）网络舆情处,1410006,网络舆情监测、研判、编辑,从事网络舆情工作,具有较高的英语和计算机水平，较好的文字功底。,有网站、新闻工作从业经验者优先。需要值夜班。,False,0,False,0,2
6,,不限,综合管理,三年,硕士,硕士研究生及以上,7,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,组织干部处,1410007,党建人才职位主任科员及以下,协助草拟和实施上海市科技人才工作相关政策，协助开展科技系统党建课题调研和推进基层党建工作等。,熟悉科技党建与人才工作，有一定的政策研究功底。具有较强的组织协调与文字表达能力。需具有3年以上相关工作经历，参加过相关重要课题研究。,,False,0,False,0,1
7,,经济学,经济管理,二年,硕士,硕士研究生及以上,8,1,市金融办,具有两年以上基层工作经历的人员,不限,政策研究室（发展规划处）,1410008,综合研究分析主任科员及以下,综合性文字材料、经济金融形势分析和金融政策研究等工作,具备良好的综合素质、较强的研究分析、文字写作、口头表达能力，理论功底扎实，熟悉经济、金融政策。具有两年以上文字综合工作或金融研究工作经历者优先。,,False,0,False,0,1
8,,"马克思主义哲学,政治学类,中国语言文学类",综合管理,二年,硕士,硕士研究生及以上,9,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,办公室,1410009,党务管理职位主任科员及以下,调研和文稿撰写工作。,具有较强的文字能力。,有从事文秘或其它文字工作经历优先。,False,0,False,0,1
9,,"马克思主义哲学,政治学类,中国语言文学类",综合管理,二年,硕士,硕士研究生及以上,10,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,组织部,1410010,党务管理职位主任科员及以下,机关党建工作。,具有较强的文字能力。,有从事党建或文字工作经历优先。,False,0,False,0,1
