,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
0,"经济学类,法学类,公共管理类  ","应用经济学类,法学类,公共管理类 ",综合管理,二年,学士,本科及以上,1,5,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1710001,主任科员及以下,有较好的政治素质，较强的责任心和保密意识。能吃苦耐劳、甘于奉献，能够承担机关文书管理、文件收发、文稿起草等工作,具备一定的调查研究和文字表达能力，有较强的组织管理和沟通协调能力,,False,0,False,0,5
1,"计算机类,电子信息类 ","信息与通信工程类,计算机科学与技术类 ",信息管理,二年,学士,本科及以上,2,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1710002,主任科员及以下,有较好的政治素质，较强的责任心和大局意识。有较强的信息技术能力，能够承担信息系统和网络运行维护等工作,具备一定的调查研究和文字表达能力，有较强的计算机操作能力,,False,0,False,0,1
2,,不限 ,综合管理,二年,硕士,硕士研究生,3,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办）事业发展处,1710003,综合管理（主任科员及以下）,以娴熟英语进行口头及书面的对外联络和协调，以较高的文字能力编辑文字材料和文案，以较强的沟通能力、组织能力和一定的策划能力进行项目的创意和推进,英语口语流利，具有英语专业八级证书和高级口译证书,本科阶段须为英语专业。 ,False,0,False,0,1
3,"经济学类,法学类,哲学类  ","理论经济学类,法学类,哲学类 ",综合管理,二年,学士,本科及以上,4,4,市委研究室,具有两年以上基层工作经历的人员,中共党员,内部处室,1710004,主任科员及以下,撰写文稿、调研报告,熟悉上海政治、经济、社会、文化、生态、党建发展情况，具有经济学、政治学或法学等相关学习经历，热爱写作，具有一定的文稿起草和调研能力。,,False,0,False,0,4
4,新闻学 ,,综合管理,二年,学士,本科,5,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,宣传处,1710005,科技宣传和思政工作研究职位主任科员及以下,组织开展科技宣传、科技人员思想动态调研和理论学习等工作。,需具有科技新闻或科技政策研究工作经历，有较高的政治素养，具备较强的组织协调能力和文字写作能力；具有团队合作精神，相容性好。,,False,0,False,0,1
5,"法学类,中国语言文学类,公共管理类  ","法学类,中国语言文学类,公共管理类 ",综合管理,二年,学士,本科及以上,6,2,市委信访办,具有两年以上基层工作经历的人员,中共党员,业务处室,1710006,副主任科员及以下,信访业务岗位，主要从事办理人民群众来信；接待人民群众来访；撰写综合信息；协调化解人民内部矛盾等工作。,熟悉本地语言者优先。,,False,0,False,0,2
6,"经济学,金融学 ","经济学,金融学 ",经济管理,二年,学士,本科及以上,7,2,市金融党委,具有两年以上基层工作经历的人员,不限,市金融办业务处室,1710007,主任科员及以下,金融业务管理,综合素质好，责任心强；具有较强的语言表达、沟通协调和文字综合能力；金融专业功底扎实，熟悉金融法律法规和相关国家政策，具有2年以上金融业务相关工作经历,,False,0,False,0,2
7,"哲学类,政治学类,中国语言文学类  ","哲学类,政治学类,中国语言文学类 ",综合管理,二年,学士,本科及以上,8,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,市级机关纪工委,1710008,党务管理职位主任科员及以下,机关党建工作。,具有较强的文字能力。,有从事党建（纪检）或文字工作经历优先。 ,False,0,False,0,1
8,"哲学类,政治学类,中国语言文学类  ","哲学类,政治学类,中国语言文学类 ",综合管理,二年,学士,本科及以上,9,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,市级机关工委办公室,1710009,党务管理职位主任科员及以下,机关党建工作。,具有较强的文字能力。,有从事党建或文字工作经历优先。 ,False,0,False,0,1
9,不限 ,,综合管理,二年,学士,本科,10,1,市委老干部局,具有两年以上基层工作经历的人员,中共党员,生活待遇处,1710010,科员,会同有关部门制定、落实中央及本市有关离休干部生活待遇的政策、措施；监督、检查和指导本市有关部门落实离休干部离休费、补贴费等生活待遇有关政策规定；会同有关部门做好本市离休干部有关经费的保障、使用和管理工作。,,身体健康。具有较强的服务意识和组织协调、文字表达能力。有人事工作、党务工作经历优先。 ,False,0,False,0,1
10,不限 ,不限 ,综合管理,二年,学士,本科及以上,11,1,市委老干部局,具有两年以上基层工作经历的人员,中共党员,人事处,1710011,科员,负责局机关干部教育、干部监督、干部福利等工作，协助做好局机关干部任免、工资、干部人事档案工作。,,身体健康。具有一定的组织协调能力和文字表达能力，有干部人事工作经验者优先考虑。 ,False,0,False,0,1
11,,不限 ,综合管理,二年,硕士,硕士研究生及以上,12,6,市政府办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1710012,主任科员及以下,综合岗位,工作严谨细致，责任心强；作风正派，政治意识强；熟悉机关公文办理，具有较强的文稿起草能力；善于沟通、联络，具有较好的组织协调能力；能够熟练掌握计算机应用技术。,,False,0,False,0,6
12,,"经济学,公共管理类 ",经济管理,二年,硕士,硕士研究生及以上,13,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1710013,"经济分析、规划管理与综合改革职位,主任科员及以下",从事经济形势分析与编制社会经济发展年度计划、从事本市经济体制与社会领域的改革、综合协调等工作。,熟悉经济学、统计学、公共管理的基本理论，具有从事经济研究、经济统计、综合改革及相关领域2年及以上工作经历（含2年及以上基层经历），具有较强的文字综合、政策研究等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,3
13,,"产业经济学,管理科学与工程类,工学 ",经济管理,二年,硕士,硕士研究生及以上,14,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1710014,产业发展、能源管理，主任科员及以下,参与本市能源管理与相关产业发展等方面政策研究、规划编制等工作；从事本市战略性新兴产业发展有关的协调管理、政策研究等工作。,熟悉能源发展、产业发展、技术经济、战略性新兴产业等方面的专业知识；具有从事能源发展、相关产业发展规划、产业管理等方面2年以上工作经历（含2年以上基层经历），具有较强的政策研究和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,兼有工科与经济管理的复合型从业经历者优先 ,False,0,False,0,3
14,"财政学,金融学类,经济学类  ","财政学,金融学,经济学 ",经济管理,二年,学士,本科及以上,15,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1710015,综合经济管理，主任科员及以下,参与本市财政金融协调、利用外资和境外投资等有关领域的协调管理、政策研究等工作。,熟悉财税金融、外资管理等方面的专业知识；具有从事财政金融管理、外资管理等领域2年以上工作经历（含2年以上基层经历），具有较强的文字综合和组织协调等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,3
15,财务管理 ,会计学 ,财务管理,二年,学士,本科及以上,16,1,市发展改革委,具有两年以上基层工作经历的人员,中共党员,市价格监督检查与反垄断局,1710016,办公室财务，科员,承担机关单位财务管理工作，负责财务预算编制和执行、账务处理等工作。,熟悉行政事业单位财务管理工作，具有一定财务工作经验；热爱机关财务岗位工作；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有会计从业资格证书 ,False,0,False,0,1
16,"财务管理,会计学 ","会计学,财政学 ",财务管理,二年,学士,本科及以上,17,1,市发展改革委,具有两年以上基层工作经历的人员,中共党员,市价格监测与成本调查队,1710017,办公室财务职位，科员,承担机关单位财务管理工作，负责固定资产管理和出纳等工作。,熟悉行政事业单位财务管理工作，具有一定财务工作经验；热爱机关财务岗位工作；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,具有会计从业资格证书 ,False,0,False,0,1
17,经济与贸易类 ,应用经济学类 ,经济管理,二年,学士,本科及以上,18,1,市商务委,具有两年以上基层工作经历的人员,不限,市场运行调控处(市副食品管理办公室),1710018,主任科员及以下,参与本市重要食品市场预测预警和信息发布、重要商品储备管理和市场调控、重要农产品流通的协调和管理，参与组织实施本市农产品流通市场布局规划，食品和食用农产品流通环节以及酒类流通、消费环节信息追溯系统的建设与运维等。,具有较好的组织协调、文字综合和实务操作能力。,,False,0,False,0,1
18,经济与贸易类 ,应用经济学类 ,经济管理,二年,学士,本科及以上,19,1,市商务委,具有两年以上基层工作经历的人员,不限,外贸发展处（市机电产品进出口办公室）,1710019,主任科员及以下,参与本市货物和机电产品进出口的指导管理和统计监测，制定实施本市贸易促进政策，推进本市外贸转型升级、贸易便利化等工作，参与广交会、华交会、跨国采购大会等大型展会的组织、指导和协调等。,具有较好的组织协调、文字综合和实务操作能力。,,False,0,False,0,1
19,经济与贸易类 ,应用经济学类 ,经济管理,二年,学士,本科及以上,20,1,市商务委,具有两年以上基层工作经历的人员,不限,对外经济合作处,1710020,主任科员及以下,参与本市企业对外直接投资、对外承包工程、对外劳务合作的管理、协调和促进，指导协调本市各类对外援助项目的实施，参与本市外派劳务和境外就业人员的合法权益保护等。,具有较好的组织协调、文字综合和实务操作能力。,,False,0,False,0,1
20,,不限 ,综合管理,二年,硕士,硕士研究生及以上,21,1,市教委,具有两年以上基层工作经历的人员,中共党员,党委办公室,1710021,综合管理岗主任科员及以下,协助做好党委重点工作督查督办工作。,有本市党政机关或事业单位管理工作经验，有一定的文字功底，勤奋踏实，善于学习。,具有办公室管理经历优先。 ,False,0,False,0,1
21,不限 ,不限 ,综合管理,二年,学士,本科及以上,22,1,市教委,具有两年以上基层工作经历的人员,中共党员,党委老干部处,1710022,综合管理岗主任科员及以下,离退休干部党建、管理与服务工作。,具有较强文字表达能力与服务精神。,具有教育管理工作、党建工作经历者优先。 ,False,0,False,0,1
22,,不限 ,综合管理,二年,硕士,硕士研究生及以上,23,1,市教委,具有两年以上基层工作经历的人员,中共党员,教卫机关党委,1710023,综合管理岗主任科员及以下,处室内务综合管理及有关事务。,服务意识强；具有良好的文字表达能力；熟悉本市机关或事业单位情况、具有党务工作经历者优先。,,False,0,False,0,1
23,,不限 ,综合管理,二年,硕士,硕士研究生及以上,24,1,市教委,具有两年以上基层工作经历的人员,不限,发展规划处,1710024,综合管理岗主任科员及以下,协助开展各类教育事业发展规划和年度计划编制，本市教育改革发展战略研究以及院校，以及本市高校更名、升格等设置工作。,具有较强的分析思考能力、组织协调能力。,具有高等教育管理相关工作经验者优先。 ,False,0,False,0,1
